policy,seed,placed,mean_fidelity,slo_violation_rate,mean_wait_s
calib-aware/v0,1000,500,0.405780,0.000000,715.676
calib-aware/v0,1001,500,0.391811,0.000000,709.762
calib-aware/v0,1002,500,0.433071,0.000000,480.328
calib-aware/v0,1003,500,0.406045,0.000000,788.387
calib-aware/v0,1004,500,0.400378,0.000000,899.519
static-best/v0,1000,500,0.347834,0.102564,9.145
static-best/v0,1001,500,0.338043,0.076555,10.674
static-best/v0,1002,500,0.375947,0.062500,12.547
static-best/v0,1003,500,0.338147,0.129534,10.187
static-best/v0,1004,500,0.343706,0.102804,10.505
round-robin/v0,1000,500,0.358472,0.379487,0.062
round-robin/v0,1001,500,0.351561,0.330144,0.138
round-robin/v0,1002,500,0.391109,0.302885,0.270
round-robin/v0,1003,500,0.358824,0.367876,0.187
round-robin/v0,1004,500,0.356934,0.383178,0.146
