policy,seed,job_id,circuit,width,shots,arrival_s,start_s,wait_s,target,snapshot_id,esp_predicted,fidelity,floor_2q,floor_ro,slo_violated,deadline_s,deadline_met,unplaced
calib-aware/v0,1000,bj-0000,bv_04,4,2000,353.676231,353.676231,0,sim/ibm-sherbrooke-r,replay-c8ed6f4cee67,0.967975,0.938000,0.006550,0,False,717.160306,True,False
calib-aware/v0,1000,bj-0001,dj_06,6,4000,1028.965132,1028.965132,0,sim/ibm-sherbrooke-r,replay-541e7ce009c6,0.916938,0.711000,0.004952,0,False,0,True,False
calib-aware/v0,1000,bj-0002,dj_03,3,1000,1044.966792,1044.966792,0,sim/ibm-torino-r,replay-9bb5ff560d29,0.972156,0.762000,0,0,False,0,True,False
calib-aware/v0,1000,bj-0003,bv_12,12,500,1056.911658,1056.911658,0,sim/ibm-brisbane-r,replay-68fdbae0f238,0.826975,0.452000,0,0,False,1758.971483,True,False
calib-aware/v0,1000,bj-0004,ghz_20,20,1000,1769.010272,1769.010272,0,sim/ibm-brisbane-r,replay-dc2cd1aefcfe,0.434235,0.142000,0,0,False,2347.681544,True,False
calib-aware/v0,1000,bj-0005,grover_05,5,500,1959.015107,1959.015107,0,sim/ibm-torino-r,replay-12573fc23ab4,0.507200,0.139681,0,0,False,0,True,False
calib-aware/v0,1000,bj-0006,wstate_10,10,2000,1967.516906,1967.516906,0,sim/ibm-brisbane-r,replay-556057863b80,0.773373,0.437000,0,0,False,0,True,False
calib-aware/v0,1000,bj-0007,dj_03,3,500,1981.807157,1981.807157,0,sim/ibm-sherbrooke-r,replay-7bd2ddf1dc5f,0.974767,0.927000,0,0,False,3609.725330,True,False
calib-aware/v0,1000,bj-0008,ghz_02,2,2000,2180.519366,2180.519366,0,sim/ibm-sherbrooke-r,replay-7bd2ddf1dc5f,0.980470,0.949000,0,0,False,3281.744836,True,False
calib-aware/v0,1000,bj-0009,bv_04,4,2000,2330.850184,2330.850184,0,sim/ibm-sherbrooke-r,replay-7bd2ddf1dc5f,0.967342,0.927000,0.006384,0,False,0,True,False
calib-aware/v0,1000,bj-0010,wstate_06,6,4000,3327.015776,3327.015776,0,sim/ibm-torino-r,replay-5bc8fb59383e,0.884535,0.679000,0,0,False,4913.366988,True,False
